timestamp,gaze2d_x,gaze2d_y,pupildiameter
25.191654,0.483800,0.482300,3.5940000000000007
25.211747,0.483300,0.482000,3.600000000000001
25.231728,0.483000,0.483600,3.577000000000001
25.251819,0.483500,0.490400,3.451000000000001
25.271799,0.483300,0.483900,3.5580000000000007
25.291892,0.483000,0.484600,3.561000000000001
25.311873,0.482500,0.484900,3.5660000000000007
25.331964,0.482800,0.491200,3.4490000000000007
25.351944,0.484300,0.493200,3.4250000000000007
25.372037,0.484300,0.493300,3.420000000000001
25.392017,0.484400,0.494600,3.4050000000000007
25.412110,0.485700,0.499800,3.278000000000001
25.432089,0.485800,0.499200,3.2840000000000007
25.452183,0.484900,0.498700,3.3130000000000006
25.472162,0.485400,0.492700,3.415000000000001
25.492254,0.485700,0.498500,3.3120000000000007
25.512234,0.485800,0.499900,3.278000000000001
25.532327,0.485900,0.500100,3.2650000000000006
25.552307,0.485900,0.501000,3.266000000000001
25.572400,0.484400,0.494500,3.4140000000000006
25.592379,0.484200,0.493500,3.4340000000000006
25.612473,0.484100,0.493700,3.4330000000000007
25.632452,0.483200,0.487500,3.4450000000000007
25.652544,0.483300,0.487200,3.440000000000001
25.672525,0.493800,0.509300,3.2470000000000008
25.692617,0.520700,0.540400,3.233000000000001
25.712597,0.520100,0.539900,3.279000000000001
25.732690,0.520200,0.541100,3.238000000000001
25.752669,0.520500,0.541100,3.218000000000001
25.772763,0.520400,0.541500,3.205000000000001
25.792742,0.520100,0.542100,3.2390000000000008
25.812834,0.520200,0.542400,3.222000000000001
25.832814,0.520700,0.542800,3.2070000000000007
25.852907,0.520700,0.543000,3.201000000000001
25.872887,0.519600,0.542900,3.1950000000000007
25.892979,0.519500,0.542700,3.197000000000001
25.912960,0.519700,0.542600,3.1920000000000006
25.933052,0.519500,0.542600,3.1920000000000006
25.953032,0.520000,0.542000,3.1920000000000006
25.973125,0.520000,0.541800,3.189000000000001
25.993104,0.522200,0.529300,3.174000000000001
26.013197,0.522100,0.531700,3.1750000000000007
26.033177,0.521500,0.535600,3.1830000000000007
26.053270,0.521700,0.535600,3.1840000000000006
26.073249,0.522400,0.535500,3.186000000000001
26.093342,0.522700,0.535800,3.193000000000001
26.113322,0.523000,0.536300,3.190000000000001
26.133414,0.522900,0.536500,3.1910000000000007
26.153394,0.522600,0.537900,3.1910000000000007
26.173487,0.522700,0.538100,3.1950000000000007
26.193467,0.520400,0.538100,3.2030000000000007
26.213559,0.520100,0.538500,3.206000000000001
26.233539,0.519300,0.538500,3.206000000000001
26.253633,0.519000,0.538600,3.2110000000000007
26.273612,0.518500,0.538400,3.2190000000000007
26.293706,0.518400,0.539000,3.2070000000000007
26.313684,0.526900,0.537900,3.2310000000000008
26.333778,0.543400,0.516600,3.255000000000001
26.353757,0.545000,0.513400,3.226000000000001
26.373850,0.544900,0.513700,3.2320000000000007
26.393829,0.544800,0.515800,3.213000000000001
26.413922,0.544900,0.514500,3.242000000000001
26.433902,0.544400,0.513400,3.2440000000000007
26.453995,0.544600,0.513400,3.241000000000001
26.473975,0.544300,0.513800,3.2430000000000008
26.494068,0.544400,0.513800,3.2390000000000008
26.514047,0.546900,0.495200,3.241000000000001
26.534139,0.546500,0.499700,3.2400000000000007
26.554120,0.546700,0.472800,3.237000000000001
26.574212,0.546600,0.491200,3.237000000000001
26.594192,0.546400,0.493700,3.2390000000000008
26.614285,0.546400,0.495400,3.233000000000001
26.634265,0.546700,0.500700,3.234000000000001
26.654357,0.546300,0.501700,3.2310000000000008
26.674337,0.546300,0.501600,3.2270000000000008
26.694429,0.546300,0.491200,3.226000000000001
26.714409,0.545900,0.496200,3.2200000000000006
26.734503,0.545800,0.504700,3.217000000000001
26.754482,0.546000,0.509900,3.2160000000000006
26.774575,0.545800,0.509300,3.2240000000000006
26.794554,0.545900,0.509400,3.2160000000000006
26.814647,0.545700,0.509100,3.205000000000001
26.834627,0.545400,0.508900,3.193000000000001
26.854720,0.545400,0.508500,3.185000000000001
26.874699,0.545500,0.508600,3.1800000000000006
26.894792,0.545700,0.508500,3.1710000000000007
26.914772,0.543300,0.508700,3.1630000000000007
26.934864,0.544100,0.508200,3.154000000000001
26.954844,0.544200,0.508200,3.1430000000000007
26.974937,0.544700,0.507700,3.1220000000000008
26.994917,0.544900,0.507400,3.117000000000001
27.015009,0.545100,0.507100,3.117000000000001
27.034990,0.545000,0.507100,3.117000000000001
27.055083,0.545100,0.507200,3.1200000000000006
27.075061,0.545000,0.507300,3.1160000000000005
27.095155,0.545000,0.507500,3.109000000000001
27.115135,0.545500,0.507600,3.1080000000000005
27.135227,0.545800,0.507100,3.1080000000000005
27.155207,0.545300,0.506900,3.109000000000001
27.175299,0.545300,0.506800,3.1080000000000005
27.195279,0.545400,0.507100,3.1100000000000008
27.215372,0.545300,0.507200,3.113000000000001
27.235352,0.545100,0.500800,3.1120000000000005
27.255444,0.544900,0.500700,3.1080000000000005
27.275424,0.544400,0.500500,3.1120000000000005
27.295517,0.544400,0.500300,3.1190000000000007
27.315497,0.544600,0.500200,3.126000000000001
27.335590,0.544500,0.500700,3.1310000000000007
27.355569,0.544800,0.493300,3.1350000000000007
27.375662,0.544900,0.493700,3.1590000000000007
27.395642,0.544400,0.487200,3.1640000000000006
27.415734,0.544300,0.487300,3.170000000000001
27.435714,0.543700,0.493900,3.174000000000001
27.455807,0.543800,0.493900,3.182000000000001
27.475787,0.544900,0.494300,3.1880000000000006
27.495879,0.545100,0.501200,3.198000000000001
27.515859,0.544300,0.500900,3.209000000000001
27.535951,0.544900,0.500300,3.2160000000000006
27.555932,0.544700,0.505300,3.226000000000001
27.576024,0.544400,0.505300,3.2150000000000007
27.596004,0.544800,0.509300,3.221000000000001
27.616097,0.544900,0.509200,3.225000000000001
27.636077,0.545900,0.508700,3.237000000000001
27.656170,0.545800,0.509600,3.233000000000001
27.676149,0.545200,0.508900,3.2430000000000008
27.696242,0.545200,0.509200,3.2430000000000008
27.716222,0.545500,0.509300,3.2400000000000007
27.736316,0.545000,0.510100,3.238000000000001
27.756294,0.545100,0.508800,3.234000000000001
27.776388,0.545100,0.509000,3.2360000000000007
27.796367,0.544200,0.496100,3.2360000000000007
27.816460,0.544600,0.496700,3.2470000000000008
27.836439,0.544500,0.497200,3.2690000000000006
27.856534,0.544500,0.497100,3.2600000000000007
27.876512,0.544100,0.504800,3.2520000000000007
27.896604,0.544500,0.503800,3.2470000000000008
27.916584,0.544300,0.498200,3.2430000000000008
27.936677,0.544500,0.504200,3.2450000000000006
27.956657,0.545100,0.503800,3.2490000000000006
27.976750,0.545000,0.498400,3.250000000000001
27.996729,0.545900,0.505200,3.251000000000001
28.016822,0.545800,0.507400,3.250000000000001
28.036802,0.546900,0.499000,3.2400000000000007
28.056894,0.546400,0.502700,3.241000000000001
28.076875,0.547700,0.502100,3.2400000000000007
28.096967,0.547400,0.502400,3.2400000000000007
28.116947,0.547000,0.501500,3.238000000000001
28.137039,0.547100,0.498600,3.2480000000000007
28.157020,0.547500,0.498900,3.2470000000000008
28.177113,0.547600,0.498900,3.254000000000001
28.197092,0.548200,0.505300,3.251000000000001
28.217184,0.548200,0.505500,3.2490000000000006
28.237165,0.546300,0.512100,3.251000000000001
28.257258,0.546500,0.510500,3.2560000000000007
28.277236,0.546000,0.511300,3.2560000000000007
28.297330,0.545700,0.511300,3.2560000000000007
28.317309,0.546400,0.513200,3.258000000000001
28.337401,0.546000,0.512200,3.2480000000000007
28.357382,0.545600,0.511900,3.2470000000000008
28.377475,0.545700,0.511700,3.2390000000000008
28.397455,0.545100,0.511400,3.2390000000000008
28.417547,0.545100,0.510800,3.2430000000000008
28.437527,0.545100,0.510500,3.2360000000000007
28.457619,0.545100,0.511000,3.237000000000001
28.477599,0.546000,0.504200,3.2570000000000006
28.497693,0.545900,0.504100,3.2600000000000007
28.517672,0.545700,0.503200,3.258000000000001
28.537764,0.545700,0.503400,3.2520000000000007
28.557745,0.544600,0.490600,3.2520000000000007
28.577838,0.544300,0.491100,3.2490000000000006
28.597817,0.544400,0.491100,3.250000000000001
28.617910,0.544200,0.491400,3.246000000000001
28.637889,0.543900,0.491800,3.246000000000001
28.657982,0.543700,0.491200,3.238000000000001
28.677962,0.542500,0.498000,3.2150000000000007
28.698054,0.542800,0.497600,3.214000000000001
28.718034,0.542800,0.498100,3.214000000000001
28.738127,0.542800,0.498600,3.218000000000001
28.758107,0.544000,0.510800,3.2230000000000008
28.778199,0.544500,0.511100,3.2160000000000006
28.798179,0.543800,0.510900,3.2200000000000006
28.818272,0.543900,0.510900,3.214000000000001
28.838252,0.544100,0.510900,3.214000000000001
28.858345,0.544200,0.510900,3.209000000000001
28.878324,0.543900,0.511000,3.2400000000000007
28.898417,0.517900,0.546300,3.2560000000000007
28.918397,0.499300,0.549800,3.1760000000000006
28.938489,0.501000,0.551200,3.181000000000001
28.958469,0.502100,0.549500,3.189000000000001
28.978562,0.502300,0.548500,3.1990000000000007
28.998542,0.502400,0.548700,3.2120000000000006
29.018634,0.502800,0.548500,3.217000000000001
29.038614,0.500800,0.531200,3.214000000000001
29.058707,0.501400,0.534100,3.2110000000000007
29.078687,0.501700,0.535700,3.210000000000001
29.098779,0.502100,0.537300,3.210000000000001
29.118759,0.502500,0.537700,3.213000000000001
29.138852,0.502900,0.537200,3.213000000000001
29.158832,0.502900,0.537200,3.2310000000000008
29.178925,0.503200,0.537600,3.2430000000000008
29.198904,0.503600,0.537700,3.242000000000001
29.218997,0.506100,0.540000,3.267000000000001
29.238977,0.508800,0.550100,3.2570000000000006
29.259069,0.509500,0.550500,3.259000000000001
29.279050,0.510300,0.551100,3.259000000000001
29.299142,0.510600,0.551700,3.2610000000000006
29.319122,0.512000,0.553500,3.2490000000000006
29.339215,0.542800,0.562100,3.2560000000000007
29.359194,0.545800,0.560800,3.2490000000000006
29.379288,0.546100,0.559900,3.2570000000000006
29.399266,0.545700,0.560000,3.262000000000001
29.419360,0.545200,0.560400,3.271000000000001
29.439339,0.544900,0.561900,3.2600000000000007
29.459432,0.544800,0.560500,3.2720000000000007
29.479412,0.544800,0.560800,3.270000000000001
29.499504,0.545300,0.560800,3.2690000000000006
29.519484,0.544600,0.560000,3.274000000000001
29.539577,0.544900,0.560000,3.2770000000000006
29.559557,0.545000,0.560700,3.278000000000001
29.579649,0.545100,0.561200,3.2810000000000006
29.599630,0.545100,0.561100,3.282000000000001
29.619722,0.545200,0.561000,3.2800000000000007
29.639702,0.545100,0.560700,3.2880000000000007
29.659795,0.544900,0.560400,3.2930000000000006
29.679774,0.545100,0.560600,3.295000000000001
29.699868,0.544800,0.560600,3.302000000000001
29.719847,0.544700,0.559600,3.3170000000000006
29.739940,0.544700,0.562100,3.3090000000000006
29.759919,0.544100,0.562200,3.3000000000000007
29.780012,0.543900,0.562000,3.2930000000000006
29.799992,0.543800,0.561900,3.299000000000001
29.820084,0.543500,0.562000,3.302000000000001
29.840065,0.543300,0.561900,3.2930000000000006
29.860157,0.543200,0.561800,3.291000000000001
29.880137,0.543400,0.562300,3.2850000000000006
29.900229,0.542800,0.561500,3.2930000000000006
29.920209,0.542600,0.561900,3.2650000000000006
29.940302,0.542600,0.562100,3.2480000000000007
29.960282,0.543500,0.555700,3.250000000000001
29.980374,0.543300,0.555900,3.2450000000000006
30.000355,0.543300,0.555700,3.237000000000001
30.020446,0.543300,0.555400,3.233000000000001
30.040427,0.543900,0.555900,3.234000000000001
30.060520,0.543700,0.556000,3.2240000000000006
30.080499,0.543300,0.555500,3.2200000000000006
30.100592,0.543500,0.555900,3.2110000000000007
30.120572,0.543500,0.555900,3.206000000000001
30.140664,0.543600,0.555600,3.2040000000000006
30.160644,0.542800,0.561700,3.198000000000001
30.180737,0.542900,0.561400,3.193000000000001
30.200716,0.542700,0.561500,3.1880000000000006
30.220809,0.542800,0.562000,3.178000000000001
30.240789,0.542200,0.561600,3.1680000000000006
30.260882,0.542100,0.561700,3.1640000000000006
30.280862,0.542500,0.561800,3.161000000000001
30.300954,0.542300,0.561500,3.166000000000001
30.320934,0.542300,0.562000,3.1590000000000007
30.341027,0.542300,0.562500,3.1590000000000007
30.361007,0.542100,0.562900,3.158000000000001
30.381099,0.542100,0.563100,3.1560000000000006
30.401080,0.542000,0.563400,3.149000000000001
30.421172,0.542100,0.563300,3.146000000000001
30.441152,0.542100,0.562800,3.1520000000000006
30.461244,0.542400,0.562400,3.153000000000001
30.481224,0.542400,0.562400,3.1510000000000007
30.501317,0.542300,0.562200,3.1440000000000006
30.521297,0.542200,0.562000,3.1400000000000006
30.541389,0.542200,0.561700,3.141000000000001
30.561369,0.542200,0.561500,3.138000000000001
30.581462,0.542200,0.561300,3.1350000000000007
30.601441,0.542400,0.561400,3.1350000000000007
30.621535,0.542600,0.561600,3.138000000000001
30.641514,0.543100,0.562600,3.125000000000001
30.661607,0.543000,0.562900,3.1190000000000007
30.681587,0.542600,0.562900,3.1140000000000008
30.701679,0.543000,0.563100,3.1140000000000008
30.721659,0.543100,0.563400,3.117000000000001
30.741752,0.543200,0.563700,3.1110000000000007
30.761732,0.543400,0.564100,3.1080000000000005
30.781824,0.543500,0.564100,3.1070000000000007
30.801804,0.543500,0.563600,3.1060000000000008
30.821897,0.543500,0.563400,3.097000000000001
30.841877,0.543200,0.562700,3.097000000000001
30.861970,0.543100,0.562500,3.097000000000001
30.881949,0.543300,0.562400,3.0980000000000008
30.902041,0.543200,0.562100,3.0940000000000007
30.922022,0.543300,0.561800,3.093000000000001
30.942114,0.543300,0.561800,3.089000000000001
30.962095,0.543200,0.561700,3.0900000000000007
30.982186,0.543200,0.561400,3.089000000000001
31.002167,0.541700,0.560900,3.109000000000001
31.022259,0.541800,0.561600,3.0980000000000008
31.042239,0.541800,0.561200,3.1060000000000008
31.062333,0.541600,0.560800,3.1070000000000007
31.082311,0.541500,0.560400,3.1120000000000005
31.102405,0.541300,0.560600,3.1120000000000005
31.122384,0.542100,0.554200,3.1140000000000008
31.142478,0.542000,0.554300,3.121000000000001
31.162457,0.541900,0.554400,3.125000000000001
31.182549,0.541800,0.554600,3.1320000000000006
31.202529,0.542100,0.554700,3.133000000000001
31.222622,0.542100,0.554300,3.141000000000001
31.242602,0.542200,0.554000,3.146000000000001
31.262694,0.542400,0.554400,3.1560000000000006
31.282674,0.542300,0.554900,3.157000000000001
31.302767,0.542300,0.554800,3.162000000000001
31.322747,0.541300,0.561500,3.1710000000000007
31.342839,0.541000,0.561100,3.1760000000000006
31.362819,0.540900,0.560600,3.1800000000000006
31.382912,0.541000,0.560600,3.178000000000001
31.402892,0.540800,0.560800,3.182000000000001
31.422984,0.540800,0.560900,3.1840000000000006
31.442965,0.540700,0.561500,3.1830000000000007
31.463057,0.540500,0.561300,3.1790000000000007
31.483037,0.540500,0.561700,3.1790000000000007
31.503129,0.540400,0.562000,3.182000000000001
31.523109,0.540400,0.561900,3.177000000000001
31.543202,0.540700,0.562200,3.174000000000001
31.563182,0.540700,0.562700,3.165000000000001
31.583274,0.540700,0.562700,3.1640000000000006
31.603254,0.540300,0.562400,3.1600000000000006
31.623347,0.540600,0.563000,3.1560000000000006
31.643327,0.540600,0.562900,3.1520000000000006
31.663419,0.540800,0.563300,3.1480000000000006
31.683399,0.540900,0.563100,3.1480000000000006
31.703492,0.540100,0.564700,3.145000000000001
31.723472,0.541900,0.565200,3.1440000000000006
31.743564,0.541700,0.565400,3.145000000000001
31.763544,0.539800,0.554100,3.177000000000001
31.783637,0.519400,0.527700,3.3400000000000007
